,Model,Dataset,CFMethod,Metric,Value
0,CausalCACTUS1,GIVECREDIT,CausalCACTUS,proximity,0.155
1,CausalCACTUS1,GIVECREDIT,CausalCACTUS,n_proximity,0.055
2,CausalCACTUS1,GIVECREDIT,CausalCACTUS,validity,0.18
3,CausalCACTUS1,GIVECREDIT,CausalCACTUS,compactness,0.848
4,CausalCACTUS1,GIVECREDIT,CausalCACTUS,lof_context,1.149
5,CausalCACTUS1,GIVECREDIT,CausalCACTUS,causal_validity_hard,0.82
6,CausalCACTUS1,GIVECREDIT,CausalCACTUS,causal_validity_soft,0.94
7,CausalCACTUS1,GIVECREDIT,CausalCACTUS,causal_compact_val,0.892
8,CausalCACTUS1,GIVECREDIT,CausalCACTUS,inlier_fraction,0.963
9,CausalCACTUS1,GIVECREDIT,CausalCACTUS,proximity,0.24
10,CausalCACTUS1,GIVECREDIT,CausalCACTUS,n_proximity,0.085
11,CausalCACTUS1,GIVECREDIT,CausalCACTUS,validity,0.2
12,CausalCACTUS1,GIVECREDIT,CausalCACTUS,compactness,0.842
13,CausalCACTUS1,GIVECREDIT,CausalCACTUS,lof_context,1.122
14,CausalCACTUS1,GIVECREDIT,CausalCACTUS,causal_validity_hard,0.76
15,CausalCACTUS1,GIVECREDIT,CausalCACTUS,causal_validity_soft,0.92
16,CausalCACTUS1,GIVECREDIT,CausalCACTUS,causal_compact_val,0.862
17,CausalCACTUS1,GIVECREDIT,CausalCACTUS,inlier_fraction,0.965
18,CausalCACTUS1,GIVECREDIT,CausalCACTUS,proximity,0.184
19,CausalCACTUS1,GIVECREDIT,CausalCACTUS,n_proximity,0.065
20,CausalCACTUS1,GIVECREDIT,CausalCACTUS,validity,0.18
21,CausalCACTUS1,GIVECREDIT,CausalCACTUS,compactness,0.85
22,CausalCACTUS1,GIVECREDIT,CausalCACTUS,lof_context,1.108
23,CausalCACTUS1,GIVECREDIT,CausalCACTUS,causal_validity_hard,0.84
24,CausalCACTUS1,GIVECREDIT,CausalCACTUS,causal_validity_soft,0.94
25,CausalCACTUS1,GIVECREDIT,CausalCACTUS,causal_compact_val,0.886
26,CausalCACTUS1,GIVECREDIT,CausalCACTUS,inlier_fraction,0.973
27,CausalCACTUS1,GIVECREDIT,CausalCACTUS,proximity,0.151
28,CausalCACTUS1,GIVECREDIT,CausalCACTUS,n_proximity,0.054
29,CausalCACTUS1,GIVECREDIT,CausalCACTUS,validity,0.14
30,CausalCACTUS1,GIVECREDIT,CausalCACTUS,compactness,0.885
31,CausalCACTUS1,GIVECREDIT,CausalCACTUS,lof_context,1.124
32,CausalCACTUS1,GIVECREDIT,CausalCACTUS,causal_validity_hard,0.88
33,CausalCACTUS1,GIVECREDIT,CausalCACTUS,causal_validity_soft,0.964
