,Model,Dataset,CFMethod,Metric,Value
0,CACTUS1,GIVECREDIT,CACTUS,proximity,0.463
1,CACTUS1,GIVECREDIT,CACTUS,n_proximity,0.164
2,CACTUS1,GIVECREDIT,CACTUS,validity,0.16
3,CACTUS1,GIVECREDIT,CACTUS,compactness,0.545
4,CACTUS1,GIVECREDIT,CACTUS,lof_context,1.118
5,CACTUS1,GIVECREDIT,CACTUS,causal_validity_hard,0.92
6,CACTUS1,GIVECREDIT,CACTUS,causal_validity_soft,0.96
7,CACTUS1,GIVECREDIT,CACTUS,causal_compact_val,0.774
8,CACTUS1,GIVECREDIT,CACTUS,inlier_fraction,0.967
9,CACTUS1,GIVECREDIT,CACTUS,proximity,0.446
10,CACTUS1,GIVECREDIT,CACTUS,n_proximity,0.158
11,CACTUS1,GIVECREDIT,CACTUS,validity,0.1
12,CACTUS1,GIVECREDIT,CACTUS,compactness,0.492
13,CACTUS1,GIVECREDIT,CACTUS,lof_context,1.13
14,CACTUS1,GIVECREDIT,CACTUS,causal_validity_hard,0.86
15,CACTUS1,GIVECREDIT,CACTUS,causal_validity_soft,0.93
16,CACTUS1,GIVECREDIT,CACTUS,causal_compact_val,0.736
17,CACTUS1,GIVECREDIT,CACTUS,inlier_fraction,0.967
18,CACTUS1,GIVECREDIT,CACTUS,proximity,0.48
19,CACTUS1,GIVECREDIT,CACTUS,n_proximity,0.17
20,CACTUS1,GIVECREDIT,CACTUS,validity,0.1
21,CACTUS1,GIVECREDIT,CACTUS,compactness,0.482
22,CACTUS1,GIVECREDIT,CACTUS,lof_context,1.114
23,CACTUS1,GIVECREDIT,CACTUS,causal_validity_hard,0.88
24,CACTUS1,GIVECREDIT,CACTUS,causal_validity_soft,0.94
25,CACTUS1,GIVECREDIT,CACTUS,causal_compact_val,0.736
26,CACTUS1,GIVECREDIT,CACTUS,inlier_fraction,1.0
27,CACTUS1,GIVECREDIT,CACTUS,proximity,0.343
28,CACTUS1,GIVECREDIT,CACTUS,n_proximity,0.121
29,CACTUS1,GIVECREDIT,CACTUS,validity,0.18
30,CACTUS1,GIVECREDIT,CACTUS,compactness,0.618
31,CACTUS1,GIVECREDIT,CACTUS,lof_context,1.081
32,CACTUS1,GIVECREDIT,CACTUS,causal_validity_hard,0.98
33,CACTUS1,GIVECREDIT,CACTUS,causal_validity_soft,0.99
34,CACTUS1,GIVECREDIT,CACTUS,causal_compact_val,0.83
35,CACTUS1,GIVECREDIT,CACTUS,inlier_fraction,0.987
36,CACTUS1,GIVECREDIT,CACTUS,proximity,0.504
37,CACTUS1,GIVECREDIT,CACTUS,n_proximity,0.178
38,CACTUS1,GIVECREDIT,CACTUS,validity,0.1
39,CACTUS1,GIVECREDIT,CACTUS,compactness,0.488
40,CACTUS1,GIVECREDIT,CACTUS,lof_context,1.109
41,CACTUS1,GIVECREDIT,CACTUS,causal_validity_hard,0.86
42,CACTUS1,GIVECREDIT,CACTUS,causal_validity_soft,0.93
43,CACTUS1,GIVECREDIT,CACTUS,causal_compact_val,0.711
44,CACTUS1,GIVECREDIT,CACTUS,inlier_fraction,0.971
45,CACTUS2,GIVECREDIT,CACTUS,proximity,0.887
46,CACTUS2,GIVECREDIT,CACTUS,n_proximity,0.314
47,CACTUS2,GIVECREDIT,CACTUS,validity,0.26
48,CACTUS2,GIVECREDIT,CACTUS,compactness,0.238
49,CACTUS2,GIVECREDIT,CACTUS,lof_context,1.153
50,CACTUS2,GIVECREDIT,CACTUS,causal_validity_hard,0.9
51,CACTUS2,GIVECREDIT,CACTUS,causal_validity_soft,0.95
52,CACTUS2,GIVECREDIT,CACTUS,causal_compact_val,0.624
53,CACTUS2,GIVECREDIT,CACTUS,inlier_fraction,0.937
54,CACTUS2,GIVECREDIT,CACTUS,proximity,0.833
55,CACTUS2,GIVECREDIT,CACTUS,n_proximity,0.295
56,CACTUS2,GIVECREDIT,CACTUS,validity,0.2
57,CACTUS2,GIVECREDIT,CACTUS,compactness,0.27
58,CACTUS2,GIVECREDIT,CACTUS,lof_context,1.15
59,CACTUS2,GIVECREDIT,CACTUS,causal_validity_hard,0.86
60,CACTUS2,GIVECREDIT,CACTUS,causal_validity_soft,0.93
61,CACTUS2,GIVECREDIT,CACTUS,causal_compact_val,0.601
62,CACTUS2,GIVECREDIT,CACTUS,inlier_fraction,0.977
63,CACTUS2,GIVECREDIT,CACTUS,proximity,0.828
64,CACTUS2,GIVECREDIT,CACTUS,n_proximity,0.293
65,CACTUS2,GIVECREDIT,CACTUS,validity,0.22
66,CACTUS2,GIVECREDIT,CACTUS,compactness,0.23
67,CACTUS2,GIVECREDIT,CACTUS,lof_context,1.101
68,CACTUS2,GIVECREDIT,CACTUS,causal_validity_hard,0.8
69,CACTUS2,GIVECREDIT,CACTUS,causal_validity_soft,0.9
