Dataset,Prior,Alpha,CFMethod,BootstrapID,validity,lof_context,compactness,n_proximity,causal_compact_val
1credit,min,0.01,CACTUS,0,0.08,1.204756978,0.61,0.1594559983,0.737
1credit,min,0.01,CACTUS,1,0.12,1.11264575,0.62,0.1221990961,0.7615
1credit,min,0.01,CACTUS,2,0.12,1.162631595,0.565,0.1177243446,0.7385
1credit,min,0.01,CACTUS,3,0.1,1.107575094,0.5125,0.1483329551,0.682
1credit,min,0.01,CACTUS,4,0.08,1.158266826,0.6425,0.0845891591,0.768
1credit,min,0.25,CACTUS,0,0.26,1.257692221,0.3075,0.2810907815,0.5825
1credit,min,0.25,CACTUS,1,0.28,1.168766425,0.31,0.2970119589,0.5475
1credit,min,0.25,CACTUS,2,0.2,1.174481415,0.325,0.2288119174,0.5825
1credit,min,0.25,CACTUS,3,0.32,1.163252673,0.265,0.2813386929,0.5175
1credit,min,0.25,CACTUS,4,0.26,1.190289389,0.425,0.2130713127,0.6405
1credit,min,0.50,CACTUS,0,0.6,1.261684049,0.1825,0.4339893389,0.472
1credit,min,0.50,CACTUS,1,0.58,1.146224307,0.235,0.3939631878,0.4895
1credit,min,0.50,CACTUS,2,0.64,1.219956036,0.1425,0.4157035363,0.4225
1credit,min,0.50,CACTUS,3,0.64,1.202544642,0.185,0.3962674698,0.476
1credit,min,0.50,CACTUS,4,0.58,1.228648881,0.17,0.4222294402,0.4755
1credit,min,0.75,CACTUS,0,0.84,1.251007219,0.0925,0.5638774938,0.3775
1credit,min,0.75,CACTUS,1,0.84,1.163745438,0.1075,0.5644254955,0.384
1credit,min,0.75,CACTUS,2,0.76,1.211965036,0.135,0.4893134811,0.402
1credit,min,0.75,CACTUS,3,0.84,1.224039541,0.07,0.5712933505,0.3605
1credit,min,0.75,CACTUS,4,0.88,1.22649058,0.075,0.6020702441,0.3725
1credit,min,0.99,CACTUS,0,0.84,1.247282713,0.095,0.6384477086,0.3455
1credit,min,0.99,CACTUS,1,0.88,1.174013599,0.085,0.6345916925,0.3545
1credit,min,0.99,CACTUS,2,0.84,1.197337007,0.065,0.6124322238,0.343
1credit,min,0.99,CACTUS,3,0.9,1.262808217,0.04,0.6766777707,0.332
1credit,min,0.99,CACTUS,4,0.9,1.175122274,0.06,0.6742660663,0.2965
1credit,min,0.01,CausalCACTUS,0,0.26,1.177008934,0.7675,0.1030291065,0.838
1credit,min,0.01,CausalCACTUS,1,0.24,1.114764478,0.8125,0.07155793947,0.8335
1credit,min,0.01,CausalCACTUS,2,0.26,1.139786382,0.7775,0.09907526372,0.8345
1credit,min,0.01,CausalCACTUS,3,0.34,1.123409717,0.7125,0.1024633776,0.7975
1credit,min,0.01,CausalCACTUS,4,0.26,1.155258213,0.795,0.05760155115,0.839
1credit,min,0.25,CausalCACTUS,0,0.56,1.239537841,0.5075,0.2512503455,0.6585
1credit,min,0.25,CausalCACTUS,1,0.62,1.137988289,0.4875,0.2517941809,0.606
1credit,min,0.25,CausalCACTUS,2,0.44,1.150683816,0.6275,0.159928511,0.7165
