Dataset,Prior,Component,CFMethod,BootstrapID,validity,lof_context,compactness,n_proximity,causal_compact_val
1credit,min,baseline,CACTUS,0,0.72,1.346952828,0.08,0.6226240871,0.3725
1credit,min,baseline,CACTUS,1,0.8,1.221724471,0.105,0.5391823669,0.385
1credit,min,baseline,CACTUS,2,0.68,1.207639549,0.165,0.469525171,0.444
1credit,min,baseline,CACTUS,3,0.76,1.201872153,0.075,0.5337755294,0.366
1credit,min,baseline,CACTUS,4,0.76,1.208845861,0.13,0.5551811582,0.387
1credit,min,causal,CausalCACTUS,0,0.82,1.252922767,0.18,0.5719171288,0.3745
1credit,min,causal,CausalCACTUS,1,0.76,1.16570773,0.205,0.5286907835,0.401
1credit,min,causal,CausalCACTUS,2,0.76,1.207791009,0.205,0.4831625898,0.3955
1credit,min,causal,CausalCACTUS,3,0.86,1.221626026,0.145,0.5919237196,0.3365
1credit,min,causal,CausalCACTUS,4,0.88,1.235689521,0.1475,0.623133827,0.348
1credit,min,phase,CausalCACTUS,0,0.98,1.263436033,0.0575,0.54639137,0.3765
1credit,min,phase,CausalCACTUS,1,0.96,1.15308803,0.0825,0.4880850341,0.405
1credit,min,phase,CausalCACTUS,2,1,1.185940679,0.0575,0.496736283,0.3805
1credit,min,phase,CausalCACTUS,3,1,1.191678738,0.07,0.5037971958,0.388
1credit,min,phase,CausalCACTUS,4,1,1.171622758,0.05,0.5468876329,0.388
1credit,min,full,CausalCACTUS,0,0.98,1.243864814,0.1525,0.540131681,0.3795
1credit,min,full,CausalCACTUS,1,0.96,1.150851888,0.17,0.4877853177,0.409
1credit,min,full,CausalCACTUS,2,1,1.177613677,0.165,0.4901429059,0.3855
1credit,min,full,CausalCACTUS,3,1,1.175960453,0.1625,0.499966845,0.3845
1credit,min,full,CausalCACTUS,4,1,1.167918215,0.135,0.5446443585,0.388
1credit,mod,baseline,CACTUS,0,0.8,1.218560046,0.11,0.4573252181,0.485
1credit,mod,baseline,CACTUS,1,0.66,1.143744521,0.13,0.4894574344,0.49625
1credit,mod,baseline,CACTUS,2,0.76,1.173615935,0.15,0.5496953419,0.46625
1credit,mod,baseline,CACTUS,3,0.84,1.200742167,0.1075,0.6293203325,0.4275
1credit,mod,baseline,CACTUS,4,0.88,1.215367771,0.05,0.5865633634,0.43625
1credit,mod,causal,CausalCACTUS,0,0.86,1.192650401,0.1875,0.5604103513,0.48
1credit,mod,causal,CausalCACTUS,1,0.76,1.213038581,0.1775,0.5314676974,0.47875
1credit,mod,causal,CausalCACTUS,2,0.68,1.142686788,0.1875,0.5522537292,0.45375
1credit,mod,causal,CausalCACTUS,3,0.8,1.133116818,0.14,0.6507517566,0.4025
1credit,mod,causal,CausalCACTUS,4,0.8,1.160130399,0.14,0.6030285158,0.43125
1credit,mod,phase,CausalCACTUS,0,1,1.199293969,0.04,0.5480731809,0.48125
1credit,mod,phase,CausalCACTUS,1,1,1.204872082,0.0375,0.5545532664,0.4675
1credit,mod,phase,CausalCACTUS,2,1,1.154005642,0.055,0.5813485499,0.41375
1credit,mod,phase,CausalCACTUS,3,0.98,1.154126894,0.0775,0.5759406758,0.425
1credit,mod,phase,CausalCACTUS,4,1,1.153592711,0.0375,0.5404599803,0.4275
1credit,mod,full,CausalCACTUS,0,1,1.187348834,0.1575,0.543724859,0.48125
1credit,mod,full,CausalCACTUS,1,1,1.201985886,0.1475,0.5470668755,0.4575
1credit,mod,full,CausalCACTUS,2,1,1.154806152,0.1525,0.578818428,0.41375
1credit,mod,full,CausalCACTUS,3,0.98,1.148350705,0.1575,0.5711020997,0.4225
1credit,mod,full,CausalCACTUS,4,1,1.153155385,0.14,0.5391556979,0.4275
2adult,min,baseline,CACTUS,0,0.58,1.129967959,0.1371428571,0.6344770267,0.3971428571
2adult,min,baseline,CACTUS,1,0.6,1.105433898,0.09142857143,0.6194101562,0.3428571429
2adult,min,baseline,CACTUS,2,0.58,1.087405649,0.16,0.6581055509,0.3876190476
2adult,min,baseline,CACTUS,3,0.46,1.11068567,0.1085714286,0.6295261244,0.3771428571
2adult,min,baseline,CACTUS,4,0.54,1.122589602,0.1628571429,0.6114939011,0.3971428571
