Dataset,Prior,Model,BootstrapID,validity,lof_context,compactness,n_proximity,causal_compact_val
1credit,min,LatentCF++,0,1,1.531767435,0.04,0.7221985004,0.3625
1credit,min,LatentCF++,1,1,1.376391873,0.04,0.618851193,0.367
1credit,min,LatentCF++,2,1,1.420628466,0.0575,0.5608943149,0.3385
1credit,min,LatentCF++,3,1,1.388184156,0.04,0.5405904155,0.3625
1credit,min,LatentCF++,4,1,1.431063176,0.055,0.661094395,0.3145
1credit,min,Prototype C,0,1,3.506738674,0.005,1.900094702,0.209
1credit,min,Prototype C,1,1,3.928676098,0.0125,1.849624508,0.2045
1credit,min,Prototype C,2,1,3.397713962,0.0125,1.717903389,0.227
1credit,min,Prototype C,3,1,3.531593151,0.01,1.700104404,0.243
1credit,min,Prototype C,4,1,3.733605491,0.0025,1.776138341,0.176
1credit,min,Prototype D,0,1,2.100133094,0.0275,1.282602649,0.278
1credit,min,Prototype D,1,1,2.093039146,0.02,1.16009265,0.272
1credit,min,Prototype D,2,1,2.211588997,0.025,1.236124772,0.2635
1credit,min,Prototype D,3,1,2.245402184,0.0225,1.299661887,0.262
1credit,min,Prototype D,4,1,2.19627699,0.02,1.174183383,0.2455
1credit,min,CACTUS,0,0.84,1.280197904,0.09,0.6081534769,0.3605
1credit,min,CACTUS,1,0.78,1.172900982,0.1175,0.5282387768,0.396
1credit,min,CACTUS,2,0.76,1.229321135,0.1325,0.4797599387,0.412
1credit,min,CACTUS,3,0.84,1.267651312,0.0375,0.5956971583,0.3395
1credit,min,CACTUS,4,0.86,1.256307308,0.0975,0.5948354957,0.3685
1credit,min,CausalCACTUS,0,0.98,1.243864814,0.1525,0.540131681,0.3795
1credit,min,CausalCACTUS,1,0.96,1.150851888,0.17,0.4877853177,0.409
1credit,min,CausalCACTUS,2,1,1.177613677,0.165,0.4901429059,0.3855
1credit,min,CausalCACTUS,3,1,1.175960453,0.1625,0.499966845,0.3845
1credit,min,CausalCACTUS,4,1,1.167918215,0.135,0.5446443585,0.388
1credit,mod,LatentCF++,0,1,1.400521772,0.0675,0.5263246795,0.44125
1credit,mod,LatentCF++,1,1,1.392075241,0.0475,0.5732573801,0.435
1credit,mod,LatentCF++,2,1,1.509246517,0.025,0.7001469871,0.415
1credit,mod,LatentCF++,3,1,1.550252243,0.03,0.7638338994,0.3875
1credit,mod,LatentCF++,4,1,1.433287574,0.04,0.643085748,0.42875
1credit,mod,Prototype C,0,1,3.580883565,0.01,1.816590262,0.25625
1credit,mod,Prototype C,1,1,3.418226958,0.01,1.808726431,0.23375
1credit,mod,Prototype C,2,1,3.617576874,0.0125,1.838907559,0.25625
1credit,mod,Prototype C,3,1,3.244633762,0.0125,1.734076152,0.20625
1credit,mod,Prototype C,4,1,3.501743767,0.01,1.849325323,0.2175
1credit,mod,Prototype D,0,1,2.06761166,0.0175,1.1908672,0.305
1credit,mod,Prototype D,1,1,1.933443212,0.0225,1.242979882,0.305
1credit,mod,Prototype D,2,1,2.193243141,0.015,1.29404166,0.32875
1credit,mod,Prototype D,3,1,2.089706166,0.015,1.290222946,0.29625
1credit,mod,Prototype D,4,1,1.976863143,0.0175,1.196683576,0.3425
1credit,mod,CACTUS,0,0.86,1.204536045,0.095,0.5630831563,0.47625
1credit,mod,CACTUS,1,0.76,1.22313156,0.095,0.5417101892,0.48625
1credit,mod,CACTUS,2,0.68,1.143900851,0.11,0.5569561844,0.4525
1credit,mod,CACTUS,3,0.8,1.135876676,0.08,0.6303195737,0.4275
1credit,mod,CACTUS,4,0.8,1.16087715,0.0625,0.6060757578,0.4325
1credit,mod,CausalCACTUS,0,1,1.187348834,0.1575,0.543724859,0.48125
1credit,mod,CausalCACTUS,1,1,1.201985886,0.1475,0.5470668755,0.4575
1credit,mod,CausalCACTUS,2,1,1.154806152,0.1525,0.578818428,0.41375
